Type,Category,Question,Answer
Technical,Statistics & Probability,What is skewness discuss two methods to measure it?,"Skewness refers to a distortion or asymmetry that deviates from the symmetrical bell curve, or normal distribution, in a set of data. If the curve is shifted to the left or to the right, it is said to be skewed.Skewness can be quantified as a representation of the extent to which a given distribution varies from a normal distribution. There are two main types of skewness negative skew which refers to a longer or fatter tail on the left side of the distribution, while positive skew refers to a longer or fatter tail on the right. These two skews refer to the direction or weight of the distribution.The mean of positively skewed data will be greater than the median. In a negatively skewed distribution, the exact opposite is the case: the mean of negatively skewed data will be less than the median. If the data graphs symmetrically, the distribution has zero skewness, regardless of how long or fat the tails are.There are several ways to measure skewness. Pearsons first and second coefficients of skewness are two common methods. Pearsons first coefficient of skewness, or Pearson mode skewness, subtracts the mode from the mean and divides the difference by the standard deviation. Pearsons second coefficient of skewness, or Pearson median skewness, subtracts the median from the mean, multiplies the difference by three, and divides the product by the standard deviation.![1663943424873](https://user-images.githubusercontent.com/72076328/191984720-5b267ab0-9ed3-4315-8443-62d662822796.jpg)"
Technical,Statistics & Probability,"Discuss the Chi-square, ANOVA, and t-test","Chi-square test A statistical method is used to find the difference or correlation between the observed and expected categorical variables in the dataset.Example: A food delivery company wants to find the relationship between gender, location, and food choices of people.It is used to determine whether the difference between 2 categorical variables is:* Due to chance or* Due to relationshipAnalysis of Variance (ANOVA) is a statistical formula used to compare variances across the means (or average) of different groups. A range of scenarios uses it to determine if there is any difference between the means of different groups.t_test is a statistical method for the comparison of the mean of the two groups of the normally distributed sample(s).It comes in various types such as:1. One sample t-test:Used to compare the mean of a sample and the population.2. Two sample t-tests:Used to compare the mean of two independent samples and whether their population is statistically different.3. Paired t-test:Used to compare means of different samples from the same group."
Technical,Statistics & Probability,What is the relationship between the significance level and the confidence level in Statistics?###,Confidence level = 1 - significance level.It's closely related to hypothesis testing and confidence intervals. Significance Level according to the hypothesis testing literature means the probability of Type-I error one is willing to tolerate. Confidence Level according to the confidence interval literature means the probability in terms of the true parameter value lying inside the confidence interval. They are usually written in percentages.
Technical,Statistics & Probability,What is the Law of Large Numbers in statistics and how it can be used in data science ?,"The law of large numbers states that as the number of trials in a random experiment increases, the average of the results obtained from the experiment approaches the expected value. In statistics, it's used to describe the relationship between sample size and the accuracy of statistical estimates.In data science, the law of large numbers is used to understand the behavior of random variables over many trials. It's often applied in areas such as predictive modeling, risk assessment, and quality control to ensure that data-driven decisions are based on a robust and accurate representation of the underlying patterns in the data.The law of large numbers helps to guarantee that the average of the results from a large number of independent and identically distributed trials will converge to the expected value, providing a foundation for statistical inference and hypothesis testing."
Technical,Statistics & Probability,"What is the difference between a confidence interval and a prediction interval, and how do you calculate them? ###","A confidence interval is a range of values that is likely to contain the true value of a population parameter with a certain level of confidence. It is used to estimate the precision or accuracy of a sample statistic, such as a mean or a proportion, based on a sample from a larger population.For example, if we want to estimate the average height of all adults in a certain region, we can take a random sample of individuals from that region and calculate the sample mean height. Then we can construct a confidence interval for the true population mean height, based on the sample mean and the sample size, with a certain level of confidence, such as 95%. This means that if we repeat the sampling process many times, 95% of the resulting intervals will contain the true population mean height.The formula for a confidence interval is:confidence interval = sample statistic +/- margin of errorThe margin of error depends on the sample size, the standard deviation of the population (or the sample, if the population standard deviation is unknown), and the desired level of confidence. For example, if the sample size is larger or the standard deviation is smaller, the margin of error will be smaller, resulting in a narrower confidence interval.A prediction interval is a range of values that is likely to contain a future observation or outcome with a certain level of confidence. It is used to estimate the uncertainty or variability of a future value based on a statistical model and the observed data.For example, if we have a regression model that predicts the sales of a product based on its price and advertising budget, we can use a prediction interval to estimate the range of possible sales for a new product with a certain price and advertising budget, with a certain level of confidence, such as 95%. This means that if we repeat the prediction process many times, 95% of the resulting intervals will contain the true sales value.The formula for a prediction interval is:prediction interval = point estimate +/- margin of errorThe point estimate is the predicted value of the outcome variable based on the model and the input variables. The margin of error depends on the residual standard deviation of the model, which measures the variability of the observed data around the predicted values, and the desired level of confidence. For example, if the residual standard deviation is larger or the level of confidence is higher, the margin of error will be larger, resulting in a wider prediction interval.![4](https://user-images.githubusercontent.com/72076328/227254955-b57bd42a-b51b-4b4a-abab-1adb059eca98.png)"
Technical,SQL,What are joins in SQL and discuss its types?,"A JOIN clause is used to combine rows from two or more tables, based on a related column between them. It is used to merge two tables or retrieve data from there. There are 4 types of joins: inner join left join, right join, and full join.* Inner join: Inner Join in SQL is the most common type of join. It is used to return all the rows from multiple tables where the join condition is satisfied. * Left Join: Left Join in SQL is used to return all the rows from the left table but only the matching rows from the right table where the join condition is fulfilled.* Right Join: Right Join in SQL is used to return all the rows from the right table but only the matching rows from the left table where the join condition is fulfilled.* Full Join: Full join returns all the records when there is a match in any of the tables. Therefore, it returns all the rows from the left-hand side table and all the rows from the right-hand side table."
Technical,SQL,"Define the primary, foreign, and unique keys and the differences between them?","**Primary key:** Is a key that is used to uniquely identify each row or record in the table, it can be a single column or composite pk that contains more than one column* The primary key doesn't accept null or repeated values* The purpose of the primary key is to keep the Entity's integrity* There is only one PK in each table* Every row must have a unique primary key**Foreign key:** Is a key that is used to identify, show or describe the relationship between tuples of two tables. It acts as a cross-reference between tables because it references the primary key of another table, thereby establishing a link between them.* The purpose of the foreign key is to keep data integrity* It can contain null values or primary key values**Unique key:** It's a key that can identify each row in the table as the primary key but it can contain one null value* Every table can have more than one Unique key"
Technical,SQL,What is the difference between BETWEEN and IN operators in SQL?,"The SQL **BETWEEN** operator selects values within a given range. It is inclusive of both the ranges, begin and end values are included. The values can be text, date, numbers, or otherFor example, select * from tablename where price BETWEEN 10 and 100;The **IN** operator is used to select rows in which a certain value exists in a given field. It is used with the WHERE clause to match values in a list.For example, select COLUMN from tablename where 'USA' in (country);IN is mainly best for categorical variables(it can be used with Numerical as well) whereas Between is for Numerical Variables"
Technical,SQL,Assume you have the given table below which contains information on user logins. Write a query to obtain the number of reactivated users (Users who did not log in the previous month and then logged in the current month),"First, we look at all the users who did not log in during the previous month. To obtain the last month's data, we subtract an of 1 month from the current month's login date. Then, we use against the previous month's interval to check whether there was login in the previous month. Finally, we the number of users satisfying this condition.```SELECT DATE_TRUNC('month', current_month.login_date) AS current_month, COUNT(*) AS num_reactivated_users FROM user_logins current_monthWHERE NOT EXISTS ( SELECT * FROM user_logins last_month WHERE DATE_TRUNC('month', last_month.login_date) BETWEEN DATE_TRUNC('month', current_month.login_date) AND DATE_TRUNC('month', current_month.login_date) - INTERVAL '1 month')```"
Technical,SQL,Describe the advantages and disadvantages of relational database vs NoSQL databases,"Advantages of Relational Databases:** Ensure data integrity through a defined schema and ACID properties. Easy to get started with and use for small-scale applications. Lends itself well to vertical scaling. Uses an almost standard query language, making learning or switching between types of relational databases easy.**Advantages of NoSQL Databases:** Offers more flexibility in data format and representations, which makes working with Unstructured or semistructured data easier. Hence, useful when still the data schema or adding new features/functionality rapidly like in a startup environment to scale with horizontal scaling. Lends itself better to applications that need to be highly available. **Disadvantages of Relational Databases:** Data schema needs to be known in advance. Ale schemas is possible, but frequent changes to the schema for large tables can cause performance issues. Horizontal scaling is relatively difficult, leading to eventual performance bottlenecks**Disadvantages of NoSQL Databases:** As outlined by the BASE framework, weaker guarantees of data correctness are made due to the soft-state and eventual consistency property. Managing consistency can also be difficult due to the lack of a predefined schema that's strictly adhered to. Depending on the type of NoSQL database, it can be challenging for the database to handle its types of complex queries or access patterns."
Technical,SQL,Assume you are given the table below on user transactions. Write a query to obtain the third transaction of every user,"First, we obtain the transaction numbers for each user. We can do this by using the ROW_NUMBER window function, where we PARTITION by the user_id and ORDER by the transaction_date fields, calling the resulting field a transaction number. From there, we can simply take all transactions having a transaction number equal to 3."
Technical,SQL,What do you understand by Self Join? Explain using an example,"Self-join is as its name implies, joining a table to itself on a database, this process may come in handy in a number of cases, such as:1- comparing the table's rows to themselves:It's like we have two copies of the same table and join them together on a given condition to reach the required output query.Ex. If we have a store database with a client's data table holding a bunch of demographics, we could self-join the client's table to get clients who are located in the same city/made a purchase on the same day/etc.2- querying a table that has hierarchical data:Meaning, the table has a primary key that has a one-to-many relationship with another foreign key inside the same table, in other words, the table has data that refers to the same table. We could use self-join in order to have a clear look at the data by matching its keys.Ex. The organizational structure of a company may contain an employee table that has an employee id and his manager id (who is also an employee, hence has an employee id too) in the same table. Using self-join on this table would allow us to reference every employee directly to his manager.P.S. we would need to take care of duplicates that may occur and consider them in the conditions."
Technical,SQL,What is the difference between temporary tables and common table expressions?,"A temporary table is a physical table that is created in the database and persists until it is explicitly dropped or the session ends. A CTE is a virtual table that is defined only within the scope of a single SQL statement.: Temporary tables are stored in the database and occupy physical disk space. CTEs are not stored on disk and exist only in memory for the duration of the query.: Temporary tables can be accessed from any session that has the appropriate privileges. CTEs are only accessible within the scope of the query in which they are defined.: Temporary tables persist until they are explicitly dropped or the session ends. CTEs are only available for the duration of the query in which they are defined and are then discarded.: Temporary tables are created using the CREATE TEMPORARY TABLE statement, while CTEs are defined using the WITH clause.: Temporary tables are typically used to store intermediate results that will be used in multiple queries, while CTEs are used to simplify complex queries by breaking them down into smaller, more manageable parts.In summary, temporary tables are physical tables that persist in the database and can be accessed from any session, while CTEs are virtual tables that exist only within the scope of a single query and are discarded once the query is complete. Both temporary tables and CTEs can be useful tools for simplifying complex queries and storing intermediate results."
Technical,SQL,Why use Right Join When Left Join can suffice the requirement?,"In MySQL, the are used to retrieve data from multiple tables by joining them based on a specified condition.Generally, the is used more frequently than the because it returns all the rows from the left table and matching rows from the right table, or NULL values if there is no match.In most cases, a is sufficient to meet the requirement of retrieving all the data from the left table and matching data from the right table.However, there may be situations where using a is more appropriate.Here are a few examples:. : If the right table contains the primary data that needs to be retrieved, and the left table contains supplementary data, a can be used to retrieve all the data from the right table and matching data from the left table.. : In some cases, a may be more efficient than a because the database optimizer can choose the most efficient join order based on the query structure and the available indexes.. : If the query requires an outer join, a may be used to return all the rows from the right table, including those with no matching rows in the left table.It's important to note that while a can provide additional functionality in certain cases, it may also make the query more complex and difficult to read. In most cases, a is the preferred method for joining tables in MySQL."
Technical,SQL,Why Rank skips sequence?,"In MySQL, the rank function may skip a sequence of numbers when using the `DENSE_RANK()` function or the `RANK()` function, depending on the data and the query. The `DENSE_RANK()` function assigns a unique rank to each distinct value in a result set, whereas the `RANK()` function assigns the same rank to the duplicate values.Here are some of the reasons why the rank function may skip a sequence in MySQL:1. `_()` function skips ranks when there are ties. For example, if there are two rows with the same values in the ranking column, both will be assigned the same rank, and the next rank will be incremented by 1.2. `()` function skips ranks when there are gaps between the duplicate values. For example, if there are three rows with the same values in the ranking column, and then the next row has a higher value, the `RANK()` function will skip over the fourth rank.3. The query may have filtering or grouping clauses that affect the ranking. For example, if a query filters out some rows or groups them by a different column, the ranking may not be sequential.It's important to note that the ranking function in MySQL behaves differently from the ranking function in other databases, so the same query may produce different results in different database systems."
Technical,Python,"Given two arrays, write a python function to return the intersection of the two? For example, X = [1,5,9,0] and Y = [3,0,2,9] it should return [9,0]",set(X).intersect (set(Y))
Technical,Python,"Given an array, find all the duplicates in this array? For example: input: [1,2,3,1,3,6,5] output: [1,3]",set1=set()res=set()for i in list: if i in set1: res.add(i) else: set1.add(i)print(res)
Technical,Python,"Given an integer array, return the maximum product of any three numbers in the array?","import heapqdef max_three(arr): a = heapq.nlargest(3, arr) # largerst 3 numbers for postive case b = heapq.nsmallest(2, arr) # for negative case return max(a[2]*a[1]*a[0], b[1]*b[0]*a[0])"
Technical,Python,"Given an integer array, find the sum of the largest contiguous subarray within the array. For example, given the array A = [0,-1,-5,-2,3,14] it should return 17 because of [3,14]. Note that if all the elements are negative it should return zero.","def max_subarray(arr): n = len(arr) max_sum = arr[0] #max curr_sum = 0 for i in range(n): curr_sum += arr[i] max_sum = max(max_sum, curr_sum) if curr_sum <0: curr_sum = 0 return max_sum"
Technical,Python,Define tuples and lists in Python What are the major differences between them?,"Lists:In Python, a list is created by placing elements inside square brackets [], separated by commas. A list can have any number of items and they may be of different types (integer, float, string, etc.). A list can also have another list as an item. This is called a nested list.1. Lists are mutable2. Lists are better for performing operations, such as insertion and deletion.3. Lists consume more memory4. Lists have several built-in methodsTuples:A tuple is a collection of objects which ordered and immutable. Tuples are sequences, just like lists. The differences between tuples and lists are, the tuples cannot be changed unlike lists and tuples use parentheses, whereas lists use square brackets.1. Tuples are immutable2. Tuple data type is appropriate for accessing the elements3. Tuples consume less memory as compared to the list4. Tuple does not have many built-in methods.* Mutable = we can change, add, delete and modify stuff* Immutable = we cannot change, add, delete and modify stuff"
Technical,Python,"Given an integer n and an integer K, output a list of all of the combination of k numbers chosen from 1 to n. For example, if n=3 and k=2, return [1,2],[1,3],[2,3]","from itertools import combinationsdef find_combintaion(k,n): list_num = [] comb = combinations([x for x in range(1, n+1)],k) for i in comb: list_num.append(i) print(""(K:{},n:{}):"".format(k,n)) print(list_num,""\n"")```"
Technical,Python,Write a function to generate N samples from a normal distribution and plot them on the histogram,"Using bultin Libraries:```import numpy as npimport matplotlib.pyplot as pltx = np.random.randn((N,))plt.hist(x)```"
Technical,Python,What is the difference between apply and applymap function in pandas?,"Both the methods only accept callables as arguments but what sets them apart is that applymap is defined on dataframes and works element-wise. While apply can be defined on data frames as well as series and can work row/column-wise as well as element-wise. In terms of use case, applymap is used for transformations while apply is used for more complex operations and aggregations. Applymap only returns a dataframe while apply can return a scalar value, series, or dataframe."
Technical,Python,"Given a string, return the first recurring character in it, or None if there is no recurring character. Example: input = ""pythoninterviewquestion"" , output = ""n""","input_string = ""pythoninterviewquestion""def first_recurring(input_str): a_str = """" for letter in input_str: a_str = a_str + letter if a_str.count(letter) > 1: return letter return Nonefirst_recurring(input_string)"
Technical,Python,"Given a positive integerX return an integer that is a factorial ofX. If a negative integer is provided, return -1. Implement the solution by using a recursive function.",def factorial(x): # Edge cases if x < 0: return -1 if x == 0: return 1 # Exit condition - x = 1 if x == 1: return x else: # Recursive part return x * factorial(x - 1)
Technical,Python,"Given an m-by-n matrix with positive integers, determine the length of the longest path of increasing within the matrix. For example, consider the input matrix: [ 1 2 3 ] [ 4 5 6 ] [ 7 8 9 ] The answer should be 5 since the longest path would be 1-2-5-6-9","MAX = 10def Longest_Increasing_Path(dp, mat, n, m, x, y): # If value not calculated yet. if (dp[x][y] < 0): result = 0 # // If reach bottom right cell, return 1 if (x == n - 1 and y == m - 1): dp[x][y] = 1 return dp[x][y] # If reach the corner # of the matrix. if (x == n - 1 or y == m - 1): result = 1 # If value greater than below cell. if (x + 1 < n and mat[x][y] < mat[x + 1][y]): result = 1 + LIP(dp, mat, n, m, x + 1, y) # If value greater than left cell. if (y + 1 < m and mat[x][y] < mat[x][y + 1]): result = max(result, 1 + LIP(dp, mat, n, m, x, y + 1)) dp[x][y] = result return dp[x][y] # Wrapper functiondef wrapper(mat, n, m): dp = [[-1 for i in range(MAX)] for i in range(MAX)] return Longest_Increasing_Path(dp, mat, n, m, 0, 0)```"
Technical,Statistics & Probability,"You and your friend are playing a game with a fair coin. The two of you will continue to toss the coin until the sequence HH or TH shows up. If HH shows up first, you win, and if TH shows up first your friend win. What is the probability of you winning the game?","First flip is either heads or tails. If the second flip is heads we have a winner no matter what. Hence we have a 1/2 chance of game ending on the second flip.If first flip is H, and the second flip is H, then player 1 wins. If first flip is H, and second flip is T, the game goes on. Generalizing, if the last flip was T, then HH will never occur and player 1 has no chance of wining. Either the game goes on OR player 2 wins OR the game goes on AND player 2 wins. Player 1 can only win if the first flip is H and the second flip is H. Consider the following four scenarios- HH : Player 1 wins- HT ... ? : HH will never occur before TH. Player 2 wins.- TT ... ? : HH will never occur before TH. Player 2 wins.- TH : Player 2 wins.Hence probability of player 1 wining is 1/4 and probability of player 2 wining is 3/4."
Technical,Statistics & Probability,"If you roll a dice three times, what is the probability to get two consecutive threes?","The right answer is 11/216There are different ways to answer this question:1. If we roll a dice three times we can get two consecutive 3s in three ways:1. The first two rolls are 3s and the third is any other number with a probability of 1/6 * 1/6 * 5/6.2. The first one is not three while the other two rolls are 3s with a probability of 5/6 * 1/6 * 1/63. The last one is that the three rolls are 3s with probability 1/6 ^ 3So the final result is 2 * (5/6 * (1/6)^2) + (1/6)*3 = 11/216By Inclusion-Exclusion Principle:Probability of at least two consecutive threes= Probability of two consecutive threes in first two rolls + Probability of two consecutive threes in last two rolls - Probability of three consecutive threes= 2 * Probability of two consecutive threes in first two rolls - Probability of three consecutive threes= 2 * (1/6) * (1/6) - (1/6) * (1/6) * (1/6) = 11/216It can be seen also like this:The sample space is made of (x, y, z) tuples where each letter can take a value from 1 to 6, therefore the sample space has 6x6x6=216 values, and the number of outcomes that are considered two consecutive threes is (3,3, X) or (X, 3, 3), the number of possible outcomes is therefore 6 for the first scenario (3,3,1) till (3,3,6) and 6 for the other scenario (1,3,3) till (6,3,3) and subtract the duplicate (3,3,3) which appears in both, and this leaves us with a probability of 11/216."
Technical,Statistics & Probability,"Suppose you have ten fair dice. If you randomly throw them simultaneously, what is the probability that the sum of all of the top faces is divisible by six?","1/6Explanation:With 10 dices, the possible sums divisible by 6 are 12, 18, 24, 30, 36, 42, 48, 54, and 60. You don't actually need to calculate the probability of getting each of these numbers as the final sums from 10 dices because no matter what the sum of the first 9 numbers is, you can still choose a number between 1 to 6 on the last die and add to that previous sum to make the final sum divisible by 6. Therefore, we only care about the last die. And the probability to get that number on the last die is 1/6. So the answer is 1/6"
Technical,Statistics & Probability,"If you have three draws from a uniformly distributed random variable between 0 and 2, what is the probability that the median of three numbers is greater than 1.5?","The right answer is 5/32 or 0.156. There are different methods to solve it:* **Method 1:**To get a median greater than 1.5 at least two of the three numbers must be greater than 1.5. The probability of one number being greater than 1.5 in this distribution is 0.25. Then, using the binomial distribution with three trials and a success probability of 0.25 we compute the probability of 2 or more successes to get the probability of the median is more than 1.5, which would be about 15.6%.* **Method2 :**A median greater than 1.5 will occur when o all three uniformly distributed random numbers are greater than 1.5 or 1 uniform distributed random number between 0 and 1.5 and the other two are greater than 1.5.So, the probability of the above event is= {(2 - 1.5) / 2}^3 + (3 choose 1)(1.5/2)(0.5/2)^2= 10/64 = 5/32* **Method3:**Using the Monte Carlo method as shown in the figure below:![Alt_text](https://github.com/youssefHosni/Data-Science-Interview-Questions/blob/main/Figures/Monte%20Carlo%20Methods.png)"
Technical,Statistics & Probability,"Assume you have a deck of 100 cards with values ranging from 1 to 100 and you draw two cards randomly without replacement, what is the probability that the number of one of them is double the other?",There are a total of (100 C 2) = 4950 ways to choose two cards at random from the 100 cards and there are only 50 pairs of these 4950 ways that you will get one number and it's double. Therefore the probability that the number of one of them is double the other is 50/4950.
